move_number,start_eval,end_eval,delta_eval,move_quality,time_per_move,accuracy_score,blunder_risk,flag1,flag2,flag3,last_elo,phase_Endgame,phase_Middlegame,phase_Opening
1,0.2,1.58,1.38,Blunder,3.09,3.09,1.07,0,0,0,1238.13,False,False,True
2,1.58,1.72,0.15,Perfect,1.56,5.0,0.15,0,0,0,1233.13,False,False,True
3,1.72,1.79,0.07,Perfect,1.13,5.06,0.11,0,0,0,1236.27,False,False,True
4,1.79,1.83,0.04,Perfect,0.74,6.0,0.38,0,0,0,1238.65,False,False,True
5,1.83,4.02,2.19,Blunder,1.56,1.49,1.84,0,0,0,1241.56,False,False,True
6,4.02,4.03,0.01,Perfect,1.25,6.0,0.01,0,0,0,1235.97,False,False,True
7,4.03,5.0,2.63,Blunder,3.25,1.21,2.0,0,0,0,1239.81,False,False,True
8,5.0,5.0,0.05,Perfect,0.99,5.99,0.1,0,1,0,1229.19,False,False,True
9,5.0,4.97,-0.03,Perfect,1.85,6.0,0.37,0,0,0,1235.33,False,False,True
10,4.97,5.0,0.05,Perfect,1.44,6.0,0.21,0,0,0,1239.83,False,False,True
11,5.0,4.86,-0.14,Perfect,1.35,6.0,0.31,1,0,0,1244.44,False,True,False
12,4.86,5.0,0.27,Good,3.07,5.19,0.04,0,0,0,1248.03,False,True,False
13,5.0,4.98,-0.02,Perfect,3.68,5.46,0.0,0,0,0,1249.84,False,True,False
14,4.98,4.42,-0.56,Inaccuracy,4.0,3.66,0.48,0,0,0,1255.78,False,True,False
15,4.42,4.53,0.11,Perfect,1.81,6.0,0.04,0,1,0,1251.46,False,True,False
16,4.53,4.49,-0.03,Perfect,4.01,3.84,0.32,0,0,0,1257.65,False,True,False
17,4.49,4.78,0.29,Good,1.82,5.82,0.37,0,0,0,1261.53,False,True,False
18,4.78,4.71,-0.08,Perfect,2.49,6.0,0.05,0,0,0,1262.77,False,True,False
19,4.71,2.47,-2.24,Blunder,7.0,1.3,1.94,1,0,0,1268.33,False,True,False
20,2.47,2.45,-0.02,Perfect,3.39,5.73,0.14,0,0,0,1258.29,True,False,False
21,2.45,2.86,0.41,Good,3.39,6.0,0.1,0,0,0,1261.53,True,False,False
22,2.86,2.95,0.09,Perfect,1.45,5.28,0.2,0,0,0,1263.4,True,False,False
23,2.95,5.0,2.43,Blunder,1.46,1.39,2.0,0,0,0,1267.98,True,False,False
24,5.0,5.0,0.3,Good,0.85,5.35,0.01,0,0,0,1257.6,True,False,False
25,5.0,4.94,-0.06,Perfect,1.96,4.66,0.4,0,0,0,1258.53,True,False,False
26,4.94,4.92,-0.02,Perfect,0.4,6.0,0.06,0,0,0,1263.0,True,False,False
1,0.67,0.59,-0.09,Perfect,1.35,6.0,0.35,0,0,0,1101.23,False,False,True
2,0.59,-1.57,-2.15,Blunder,1.09,1.0,1.92,0,0,0,1104.55,False,False,True
3,-1.57,-1.56,0.0,Perfect,0.74,4.51,0.4,0,1,0,1099.11,False,False,True
4,-1.56,-2.1,-0.53,Inaccuracy,1.58,3.82,0.29,0,0,0,1102.02,False,False,True
5,-2.1,-1.86,0.24,Good,1.4,5.7,0.23,1,1,0,1099.78,False,False,True
6,-1.86,-1.8,0.05,Perfect,2.03,6.0,0.21,0,0,0,1101.3,False,False,True
7,-1.8,-3.35,-1.54,Blunder,0.81,2.19,1.15,0,0,0,1104.21,False,False,True
8,-3.35,-3.01,0.33,Good,2.16,5.45,0.05,0,0,0,1099.71,False,False,True
9,-3.01,-3.02,-0.01,Perfect,0.72,5.99,0.15,0,0,0,1100.91,False,False,True
10,-3.02,-2.6,0.42,Good,0.91,5.94,0.19,0,0,0,1104.66,False,False,True
11,-2.6,-4.38,-1.78,Blunder,4.14,3.13,1.49,0,0,0,1106.49,False,True,False
12,-4.38,-4.33,0.05,Perfect,4.74,6.0,0.32,1,0,0,1097.41,False,True,False
13,-4.33,-4.33,-0.01,Perfect,2.05,6.0,0.36,0,0,0,1101.84,False,True,False
14,-4.33,-2.74,1.6,Blunder,7.0,2.73,1.4,0,0,0,1107.99,False,True,False
15,-2.74,-3.51,-0.77,Inaccuracy,4.44,5.6,0.69,0,0,0,1098.2,False,True,False
16,-3.51,-3.59,-0.08,Perfect,3.76,5.47,0.19,0,0,0,1094.11,False,True,False
17,-3.59,-3.62,-0.03,Perfect,4.73,6.0,0.04,0,0,0,1100.25,False,True,False
18,-3.62,-1.34,2.28,Blunder,4.14,2.13,1.86,0,0,0,1106.47,False,True,False
19,-1.34,-3.74,-2.4,Blunder,5.64,0.73,1.89,1,0,0,1098.35,False,True,False
20,-3.74,-3.82,-0.08,Perfect,4.54,6.0,0.12,0,0,0,1093.62,False,True,False
21,-3.82,-3.95,-0.13,Perfect,3.89,6.0,0.17,0,0,0,1099.04,False,True,False
22,-3.95,-3.99,-0.04,Perfect,4.2,6.0,0.35,0,0,0,1104.06,False,True,False
23,-3.99,-4.01,-0.02,Perfect,2.56,6.0,0.21,0,0,0,1109.09,False,True,False
24,-4.01,-1.6,2.41,Blunder,5.29,1.41,1.96,1,1,0,1114.35,True,False,False
25,-1.6,-1.8,-0.21,Good,3.96,5.95,0.33,0,1,0,1104.13,True,False,False
26,-1.8,-1.62,0.18,Perfect,3.11,5.47,0.01,0,0,0,1105.61,True,False,False
27,-1.62,-1.69,-0.07,Perfect,3.79,5.06,0.25,1,0,0,1111.78,True,False,False
28,-1.69,-1.47,0.22,Good,0.71,5.38,0.04,0,0,0,1116.29,True,False,False
29,-1.47,-1.51,-0.04,Perfect,1.38,5.49,0.28,0,0,0,1117.69,True,False,False
30,-1.51,-1.66,-0.15,Perfect,0.7,5.25,0.18,0,0,0,1124.05,True,False,False
31,-1.66,-1.35,0.31,Good,0.68,6.0,0.12,0,0,0,1130.38,True,False,False
32,-1.35,-1.81,-0.46,Good,2.35,5.46,0.21,0,0,0,1132.22,True,False,False
1,-0.23,-0.27,-0.04,Perfect,1.6,6.0,0.13,0,0,0,991.02,False,False,True
2,-0.27,-0.2,0.07,Perfect,0.55,6.0,0.09,0,0,0,993.42,False,False,True
3,-0.2,-0.17,0.03,Perfect,0.77,6.0,0.39,0,0,0,996.49,False,False,True
4,-0.17,-0.42,-0.25,Good,1.02,5.66,0.32,0,0,0,1000.18,False,False,True
5,-0.42,-0.45,-0.03,Perfect,2.01,5.52,0.34,0,0,0,1001.17,False,False,True
6,-0.45,-0.37,0.08,Perfect,0.38,5.5,0.22,0,0,0,1003.69,False,False,True
7,-0.37,-0.39,-0.01,Perfect,1.99,5.96,0.3,0,0,0,1007.16,False,False,True
8,-0.39,-0.32,0.06,Perfect,1.28,6.0,0.31,0,0,0,1009.32,False,False,True
9,-0.32,-0.37,-0.05,Perfect,0.57,5.1,0.01,0,0,0,1012.44,False,False,True
10,-0.37,-0.42,-0.05,Perfect,0.42,5.6,0.3,0,0,0,1015.48,False,False,True
11,-0.42,-0.48,-0.06,Perfect,3.65,3.99,0.06,0,0,0,1018.76,False,True,False
12,-0.48,-0.45,0.03,Perfect,4.4,5.77,0.16,1,0,0,1020.87,False,True,False
13,-0.45,-0.22,0.23,Good,1.83,6.0,0.35,0,0,0,1023.28,False,True,False
14,-0.22,-0.19,0.03,Perfect,2.11,6.0,0.34,0,0,0,1024.41,False,True,False
15,-0.19,-0.2,-0.01,Perfect,5.24,5.5,0.39,0,0,0,1027.99,False,True,False
16,-0.2,-0.12,0.08,Perfect,3.81,5.96,0.31,0,0,0,1030.65,False,True,False
17,-0.12,-0.23,-0.11,Perfect,3.09,6.0,0.16,0,0,0,1034.32,True,False,False
18,-0.23,-0.26,-0.03,Perfect,1.24,5.66,0.1,0,0,0,1038.79,True,False,False
19,-0.26,-0.26,-0.01,Perfect,2.16,6.0,0.25,0,1,0,1042.39,True,False,False
20,-0.26,-0.29,-0.02,Perfect,0.71,6.0,0.15,0,0,0,1047.55,True,False,False
21,-0.29,-0.23,0.05,Perfect,1.07,6.0,0.14,0,0,0,1052.34,True,False,False
22,-0.23,-0.72,-0.49,Good,1.62,5.7,0.27,0,0,0,1056.05,True,False,False
1,0.67,3.14,2.47,Blunder,2.63,1.66,1.91,0,0,0,829.34,False,False,True
2,3.14,3.13,-0.01,Perfect,2.05,6.0,0.19,1,0,0,822.68,False,False,True
3,3.13,3.0,-0.13,Perfect,1.89,4.93,0.22,0,0,0,828.17,False,False,True
4,3.0,4.47,1.48,Blunder,2.34,4.02,1.16,1,0,0,831.74,False,False,True
5,4.47,2.42,-2.05,Blunder,2.8,1.41,1.71,1,0,0,821.1,False,False,True
6,2.42,3.82,1.4,Blunder,1.93,2.63,0.94,0,1,0,811.24,False,False,True
7,3.82,2.04,-1.78,Blunder,2.71,1.64,1.62,0,0,1,800.32,False,False,True
8,2.04,4.03,1.99,Blunder,3.49,1.58,1.54,1,0,0,792.9,False,False,True
9,4.03,3.97,-0.06,Perfect,1.8,6.0,0.37,0,1,0,781.61,False,False,True
10,3.97,4.39,0.42,Good,0.81,4.99,0.09,0,0,0,787.7,False,False,True
11,4.39,4.8,0.42,Good,2.71,5.3,0.05,0,0,0,788.97,False,True,False
12,4.8,3.25,-1.55,Blunder,3.92,3.17,1.22,0,0,0,791.04,False,True,False
13,3.25,3.38,0.13,Perfect,2.98,5.69,0.08,0,0,0,782.53,False,True,False
14,3.38,3.45,0.07,Perfect,3.91,5.93,0.2,0,0,0,786.56,False,True,False
15,3.45,5.0,1.79,Blunder,6.84,2.49,1.37,1,0,0,790.14,False,True,False
16,5.0,4.91,-0.09,Perfect,1.54,6.0,0.09,1,0,0,782.75,True,False,False
17,4.91,5.0,2.03,Blunder,2.18,0.83,1.82,0,0,0,788.82,True,False,False
18,5.0,4.87,-0.13,Perfect,0.83,6.0,0.19,1,0,0,778.44,True,False,False
19,4.87,5.0,0.14,Perfect,1.01,5.27,0.05,0,0,0,781.67,True,False,False
20,5.0,4.92,-0.08,Perfect,1.48,6.0,0.37,1,0,0,786.54,True,False,False
21,4.92,4.35,-0.57,Inaccuracy,0.81,4.61,0.55,0,0,0,791.46,True,False,False
1,-0.22,-0.17,0.06,Perfect,1.21,6.0,0.31,0,0,0,1434.34,False,False,True
2,-0.17,0.08,0.24,Good,0.91,4.92,0.32,0,0,0,1437.27,False,False,True
3,0.08,1.95,1.87,Blunder,2.48,1.81,1.66,0,1,0,1438.49,False,False,True
4,1.95,0.19,-1.76,Blunder,0.79,3.25,1.48,0,0,0,1432.79,False,False,True
5,0.19,0.18,-0.01,Perfect,1.82,5.66,0.38,0,0,0,1425.23,False,False,True
6,0.18,0.38,0.2,Good,1.36,6.0,0.35,1,1,0,1428.16,False,False,True
7,0.38,0.35,-0.03,Perfect,0.59,5.67,0.26,0,0,0,1429.11,False,False,True
8,0.35,0.4,0.05,Perfect,1.67,6.0,0.34,0,0,0,1431.81,False,False,True
9,0.4,0.41,0.01,Perfect,2.13,6.0,0.11,1,0,0,1435.1,False,False,True
10,0.41,0.43,0.02,Perfect,1.4,5.61,0.0,0,0,0,1437.51,False,False,True
11,0.43,0.37,-0.06,Perfect,3.96,5.29,0.18,0,0,0,1440.13,False,True,False
12,0.37,0.19,-0.18,Perfect,5.31,5.65,0.34,0,0,0,1442.41,False,True,False
13,0.19,-1.55,-1.74,Blunder,2.02,2.39,1.42,0,0,0,1444.9,False,True,False
14,-1.55,-1.53,0.02,Perfect,3.34,5.86,0.0,0,0,0,1440.66,False,True,False
15,-1.53,-4.28,-2.75,Blunder,4.24,0.19,2.0,0,0,0,1442.75,True,False,False
16,-4.28,-4.25,0.03,Perfect,4.16,5.96,0.32,0,0,0,1432.41,True,False,False
17,-4.25,-4.26,-0.01,Perfect,2.18,6.0,0.33,0,1,0,1436.52,True,False,False
18,-4.26,-4.28,-0.02,Perfect,1.12,6.0,0.32,0,0,0,1439.79,True,False,False
19,-4.28,-4.27,0.01,Perfect,1.3,6.0,0.12,0,0,0,1445.31,True,False,False
20,-4.27,-4.22,0.05,Perfect,1.72,5.67,0.35,1,0,0,1449.9,True,False,False
1,0.46,2.71,2.26,Blunder,1.87,0.78,2.0,0,0,0,1923.95,False,False,True
2,2.71,2.76,0.05,Perfect,1.37,5.21,0.31,0,0,0,1919.35,False,False,True
3,2.76,2.81,0.05,Perfect,1.5,6.0,0.02,1,0,0,1923.11,False,False,True
4,2.81,3.12,0.31,Good,1.17,5.31,0.37,0,0,0,1927.05,False,False,True
5,3.12,2.9,-0.22,Good,1.8,6.0,0.23,0,0,0,1928.64,False,False,True
6,2.9,2.87,-0.03,Perfect,1.41,5.98,0.25,0,0,0,1929.72,False,False,True
7,2.87,2.85,-0.02,Perfect,1.49,6.0,0.27,0,0,0,1935.21,False,False,True
8,2.85,2.86,0.01,Perfect,1.37,5.94,0.39,0,0,0,1941.59,False,False,True
9,2.86,2.89,0.03,Perfect,1.62,5.46,0.07,0,0,1,1945.4,False,False,True
10,2.89,2.84,-0.06,Perfect,0.77,6.0,0.09,0,0,0,1951.03,False,False,True
11,2.84,2.79,-0.05,Perfect,2.84,5.15,0.02,0,0,0,1956.66,False,True,False
12,2.79,4.36,1.58,Blunder,6.09,3.5,1.38,0,0,0,1961.22,False,True,False
13,4.36,4.31,-0.05,Perfect,1.69,6.0,0.35,1,0,0,1950.34,False,True,False
14,4.31,4.32,0.01,Perfect,3.12,6.0,0.16,0,1,0,1954.62,False,True,False
15,4.32,4.38,0.06,Perfect,5.46,5.83,0.05,0,0,0,1958.61,False,True,False
16,4.38,4.38,-0.0,Perfect,1.79,5.57,0.22,0,0,0,1963.81,False,True,False
17,4.38,4.45,0.07,Perfect,4.68,5.92,0.26,1,0,0,1968.6,False,True,False
18,4.45,4.51,0.06,Perfect,2.35,5.72,0.38,1,0,0,1973.85,False,True,False
19,4.51,4.42,-0.09,Perfect,1.75,5.03,0.31,1,0,0,1977.29,False,True,False
20,4.42,4.39,-0.03,Perfect,1.81,6.0,0.32,0,0,0,1983.08,True,False,False
21,4.39,4.41,0.02,Perfect,1.76,6.0,0.31,1,0,0,1987.87,True,False,False
22,4.41,3.95,-0.46,Good,4.59,5.65,0.26,0,0,0,1993.6,True,False,False
23,3.95,3.93,-0.02,Perfect,0.27,6.0,0.18,1,0,0,1994.86,True,False,False
24,3.93,4.01,0.08,Perfect,0.83,6.0,0.21,0,0,0,2000.65,True,False,False
25,4.01,3.96,-0.05,Perfect,0.86,4.95,0.01,1,0,0,2005.3,True,False,False
26,3.96,4.0,0.04,Perfect,0.93,6.0,0.2,1,0,0,2009.0,True,False,False
1,0.09,-0.37,-0.45,Good,2.17,5.0,0.09,1,0,0,1019.91,False,False,True
2,-0.37,-0.27,0.1,Perfect,1.89,5.16,0.13,0,0,0,1021.39,False,False,True
3,-0.27,-0.25,0.02,Perfect,1.86,6.0,0.29,0,1,0,1023.84,False,False,True
4,-0.25,-0.26,-0.01,Perfect,1.77,6.0,0.19,1,0,0,1026.84,False,False,True
5,-0.26,-0.28,-0.02,Perfect,1.45,5.83,0.17,0,0,0,1029.69,False,False,True
6,-0.28,-0.28,-0.0,Perfect,1.92,5.95,0.3,0,0,0,1033.35,False,False,True
7,-0.28,-0.46,-0.17,Perfect,0.74,5.33,0.37,0,0,0,1037.17,False,False,True
8,-0.46,-0.93,-0.47,Good,0.95,4.5,0.21,0,0,0,1040.42,False,False,True
9,-0.93,-3.24,-2.31,Blunder,1.15,0.82,2.0,0,0,0,1041.74,False,False,True
10,-3.24,-3.24,-0.0,Perfect,1.82,5.97,0.3,0,0,0,1036.35,False,False,True
11,-3.24,-3.33,-0.09,Perfect,4.56,6.0,0.09,0,0,0,1039.7,False,True,False
12,-3.33,-3.31,0.02,Perfect,2.21,5.5,0.34,0,0,0,1043.92,False,True,False
13,-3.31,-3.44,-0.14,Perfect,3.27,6.0,0.23,0,0,0,1048.89,False,True,False
14,-3.44,-3.39,0.05,Perfect,4.11,5.54,0.21,0,0,0,1052.55,False,True,False
15,-3.39,-1.57,1.82,Blunder,2.99,2.33,1.3,1,0,0,1058.15,False,True,False
16,-1.57,-1.6,-0.03,Perfect,2.38,5.04,0.33,0,0,0,1047.06,False,True,False
17,-1.6,-1.46,0.15,Perfect,3.3,5.96,0.37,1,0,0,1050.47,False,True,False
18,-1.46,-1.19,0.27,Good,3.44,5.72,0.29,1,0,0,1054.26,False,True,False
19,-1.19,-1.26,-0.07,Perfect,4.02,6.0,0.08,1,0,0,1055.43,False,True,False
20,-1.26,-1.39,-0.13,Perfect,4.01,6.0,0.17,0,0,0,1058.17,False,True,False
21,-1.39,-1.24,0.15,Perfect,2.63,4.49,0.08,1,0,0,1061.25,True,False,False
22,-1.24,-1.21,0.03,Perfect,2.23,6.0,0.12,0,0,0,1065.12,True,False,False
23,-1.21,-1.24,-0.02,Perfect,1.94,5.36,0.31,0,0,0,1068.97,True,False,False
24,-1.24,-1.26,-0.02,Perfect,1.44,6.0,0.11,0,0,0,1072.87,True,False,False
25,-1.26,-1.26,-0.0,Perfect,2.78,6.0,0.33,0,0,0,1077.04,True,False,False
26,-1.26,-1.26,0.0,Perfect,1.38,5.39,0.26,0,0,0,1082.17,True,False,False
27,-1.26,-1.31,-0.05,Perfect,2.41,6.0,0.0,0,0,0,1086.97,True,False,False
1,0.31,-0.12,-0.43,Good,1.83,5.72,0.11,0,0,0,1171.59,False,False,True
2,-0.12,-0.09,0.04,Perfect,0.39,5.27,0.35,0,0,0,1172.24,False,False,True
3,-0.09,-0.32,-0.23,Good,0.48,5.51,0.02,0,0,0,1174.86,False,False,True
4,-0.32,-0.38,-0.06,Perfect,0.99,5.59,0.36,1,0,0,1175.76,False,False,True
