iter	Passed	Remaining
0	226	113178
1	678	168995
2	903	149667
3	1286	159505
4	1499	148401
5	1726	142162
6	2016	142012
7	2353	144768
8	2615	142703
9	2909	142553
10	3057	135926
11	312	3198	11912	313	3561	123620
14	3666	11814	315	3733	11215	4000	121007
16	4053	115158117	4135	110743118	19	4046	97111920	4120	93982221	4227	9185221	4521	98242222	4640	96238
23	4704	93315
225	4663	85011226	4795	84005227	4861	81952228	4945	80312229	5070	79433
30	5133	77663031	5132	54553132	5420	76701
33	5531	75815
34	5680	75472
35	5716	73673536	5831	72973637	6011	73085
38	6109	72215
39	6259	71989
40	6363	71244
41	6414	69947
42	6447	68524243	6558	67964344	6545	7018	69268
46	7074	646	6847	7234	68127
48	7380	67933
49	7447	67028
50	7564	66593
51	7684	66206
52	7786	65667
53	7889	65164
54	7966	64460
55	8157	64675
56	8218	63875
57	8329	63479
58	8419	62931
59	8537	62609
60	8586	61797
61	8686	61367
62	8796	61018
63	8841	60231
64	9015	60336
65	9068	59630
66	9182	59345
67	9218	66	91668	9355	67	92969	9528	58531
70	9586	57926
71	9747	57942
72	9845	57590
73	9929	57160
74	9971	56504
75	10053	56086
76	10183	55944
77	10268	55553
78	10436	55617
79	10526	55264
80	10597	54819
81	10687	54479
82	10733	53926
83	10837	53672
84	11060	54002
85	11141	53634
86	11210	53217
87	11420	53470
88	11499	53103
89	11645	53051
90	11715	52656
91	11841	52514
92	12000	52520
93	12062	52098
94	12107	51617
95	12253	51567
96	12348	51304
97	12456	51096
98	12570	50918
99	12724	50896
100	12919	51037
101	12975	50629
102	13132	50616
103	13199	50260
104	13320	50108
105	13372	49707
106	13413	49265
107	13510	49037
108	13663	49013
109	13758	48779
110	13904	48728
111	13939	48289
112	14080	48223
113	14210	48115
114	14346	48028
115	14440	47803
116	14502	47473
117	14540	47072
118	14609	46773
119	14713	46592
120	14860	46545
121	15006	46496
122	15075	46205
123	15186	46048
124	15304	45913
125	15376	45642
126	15450	45377
127	15499	45045
128	15535	44679
129	15751	44829
130	15841	44621
131	15951	44470
132	16124	44494
133	16133	44066
134	16212	43832
135	16247	43485
136	16338	43292
137	16473	43213
138	16546	42973
139	16596	42677
140	16700	42520
141	16739	42201
142	16999	42440
143	17078	42221
144	17159	42011
145	17168	41627
146	17191	41282
147	17330	41217
148	17473	41162
149	17552	40955
150	17683	40871
151	17794	40739
152	17899	40595
153	17971	40377
154	17989	40042
155	18027	39753
156	18203	39768
157	18301	39613
158	18361	39378
159	18395	39091
160	160	18276	38161	161	18395	38162	162	18510	38163	163	18633	38174
164	18662	37165	165	18778	37166	166	18882	37167	167	18995	37539
168	19079	37368
169	19163	371991170	19314	37160
