game_id,move_number,phase,start_eval,end_eval,delta_eval,move_quality,time_per_move,accuracy_score,blunder_risk,flag1,flag2,flag3,last_elo,new_elo
game_00000,1,Opening,0.2,1.58,1.38,Blunder,3.09,3.09,1.07,0,0,0,1238.13,1233.13
game_00000,2,Opening,1.58,1.72,0.15,Perfect,1.56,5.0,0.15,0,0,0,1233.13,1236.27
game_00000,3,Opening,1.72,1.79,0.07,Perfect,1.13,5.06,0.11,0,0,0,1236.27,1238.65
game_00000,4,Opening,1.79,1.83,0.04,Perfect,0.74,6.0,0.38,0,0,0,1238.65,1241.56
game_00000,5,Opening,1.83,4.02,2.19,Blunder,1.56,1.49,1.84,0,0,0,1241.56,1235.97
game_00000,6,Opening,4.02,4.03,0.01,Perfect,1.25,6.0,0.01,0,0,0,1235.97,1239.81
game_00000,7,Opening,4.03,5.0,2.63,Blunder,3.25,1.21,2.0,0,0,0,1239.81,1229.19
game_00000,8,Opening,5.0,5.0,0.05,Perfect,0.99,5.99,0.1,0,1,0,1229.19,1235.33
game_00000,9,Opening,5.0,4.97,-0.03,Perfect,1.85,6.0,0.37,0,0,0,1235.33,1239.83
game_00000,10,Opening,4.97,5.0,0.05,Perfect,1.44,6.0,0.21,0,0,0,1239.83,1244.44
game_00000,11,Middlegame,5.0,4.86,-0.14,Perfect,1.35,6.0,0.31,1,0,0,1244.44,1248.03
game_00000,12,Middlegame,4.86,5.0,0.27,Good,3.07,5.19,0.04,0,0,0,1248.03,1249.84
game_00000,13,Middlegame,5.0,4.98,-0.02,Perfect,3.68,5.46,0.0,0,0,0,1249.84,1255.78
game_00000,14,Middlegame,4.98,4.42,-0.56,Inaccuracy,4.0,3.66,0.48,0,0,0,1255.78,1251.46
game_00000,15,Middlegame,4.42,4.53,0.11,Perfect,1.81,6.0,0.04,0,1,0,1251.46,1257.65
game_00000,16,Middlegame,4.53,4.49,-0.03,Perfect,4.01,3.84,0.32,0,0,0,1257.65,1261.53
game_00000,17,Middlegame,4.49,4.78,0.29,Good,1.82,5.82,0.37,0,0,0,1261.53,1262.77
game_00000,18,Middlegame,4.78,4.71,-0.08,Perfect,2.49,6.0,0.05,0,0,0,1262.77,1268.33
